736557	None	35768942	student	2018-10-24T11:02:53Z	2018-10-24T11:12:30Z	крутой курс всем советую ставьте лайки на комент плз	1	False	None	None	False	False	False	{'vote': True}	495596	[736563]	['31-31-736557']	False	None	None	False	False	[]	default	None	None	None	1	3	31-736557	{}
734769	None	63612384	student	2018-10-22T19:07:22Z	2018-10-23T12:11:46Z	финансовые ресурсы на проект	1	False	None	None	False	False	False	{'vote': True}	274664	[735478]	['31-31-734769']	False	None	None	False	False	[]	default	None	None	None	0	2	31-734769	{}
730656	None	60930200	student	2018-10-19T05:25:45Z	2018-10-19T05:34:23Z	какой ответ блинарсений не мишай	1	False	None	None	False	False	False	{'vote': True}	39941	[730660]	['31-31-730656']	False	None	None	False	False	[]	default	None	60930200	2018-10-19T05:30:08.881Z	0	2	31-730656	{}
729572	None	40736192	student	2018-10-18T08:24:47Z	2018-10-18T08:24:47Z	не подумал про генератор сделал функционально	0	False	None	None	False	False	False	{'vote': True}	13536	[]	['31-31-729572']	False	None	None	False	False	[]	solutions	72346212	None	None	0	2	31-729572	{}
723771	None	59170996	student	2018-10-13T06:35:01Z	2018-10-13T06:35:01Z	инфасотка вс работает	0	False	None	None	False	False	False	{'vote': True}	37992	[]	['31-31-723771']	False	None	None	False	False	[]	default	None	None	None	0	2	31-723771	{}
723162	None	61649375	student	2018-10-12T13:09:58Z	2018-10-14T12:10:26Z	не понимаю как нули сделать перед минутамисекундами если там нет десятков	2	False	None	None	False	False	False	{'vote': True}	37993	[724404, 725135]	['31-31-723162']	False	None	None	False	False	[]	default	None	None	None	0	2	31-723162	{}
722939	None	57863425	student	2018-10-12T10:06:23Z	2018-10-12T10:06:23Z	ответ	0	False	None	None	False	False	False	{'vote': True}	298962	[]	['31-31-722939']	False	None	None	False	False	[]	default	None	None	None	0	2	31-722939	{'text': {'en': '35 answer <br>'}}
720744	None	61882861	student	2018-10-10T11:38:06Z	2018-10-10T13:07:12Z	для тех кто не может решитьнадеюсь все решиливоттут вс кратко расписанно	2	False	None	None	False	False	False	{'vote': True}	37993	[720803, 720853]	['31-31-720744']	False	None	None	False	False	[]	default	None	None	None	0	2	31-720744	{}
717142	None	61591122	student	2018-10-07T11:52:09Z	2018-10-07T11:52:09Z	все элементарное  просто	0	False	None	None	False	False	False	{'vote': True}	38333	[]	['31-31-717142']	False	None	None	False	False	[]	default	None	None	None	0	2	31-717142	{}
716645	None	60709019	student	2018-10-06T20:13:49Z	2018-10-06T20:13:49Z	решение через цикл	0	False	None	None	False	False	False	{'vote': True}	37991	[]	['31-31-716645']	False	None	None	False	False	[]	default	None	None	None	0	2	31-716645	{}
